seconds,underlying,volume
389,194.4,3
390,194.3899,1
391,194.37,1
392,194.37,1
393,194.41,1
394,194.3803,1
395,194.38,2
396,194.38,2
397,194.41,1
398,194.42,1
399,194.39,1
400,194.4,1
401,194.4094,10
402,194.4,1
403,194.425,5
404,194.4393,1
405,194.425,3
406,194.425,1
407,194.41,1
408,194.4152,2
409,194.42,1
410,194.4042,2
411,194.41,1
412,194.41,1
413,194.41,1
414,194.4177,15
415,194.41,5
416,194.42,1
417,194.43,5
418,194.46,1
419,194.4399,5
420,194.43,2
421,194.44,4
422,194.41,1
423,194.41,1
424,194.395,1
425,194.39,1
426,194.39,1
427,194.38,1
428,194.38,1
429,194.3902,4
430,194.36,1
431,194.325,1
432,194.3289,9
433,194.325,2
434,194.301,1
435,194.3,1
436,194.29,1
437,194.275,2
438,194.28,10
439,194.2655,3
440,194.265,1
441,194.2811,2
442,194.285,2
443,194.27,1
444,194.2678,5
445,194.265,4
446,194.265,2
447,194.2501,3
448,194.3,1
449,194.3,1
450,194.31,1
451,194.285,1
452,194.3148,1
453,194.31,5
454,194.31,1
455,194.295,4
456,194.32,1
457,194.31,1
458,194.3,1
459,194.2901,1
460,194.3,1
461,194.29,1
462,194.28,1
463,194.285,1
464,194.2845,1
465,194.28,1
466,194.29,1
467,194.3,4
468,194.29,1
469,194.3,1
470,194.2919,3
471,194.31,1
472,194.34,2
473,194.35,1
474,194.353,1
475,194.36,1
476,194.36,3
477,194.35,2
478,194.35,4
479,194.35,1
480,194.35,1
481,194.32,1
482,194.3203,1
483,194.34,1
484,194.344,1
485,194.35,5
486,194.3399,2
487,194.34,1
488,194.35,1
489,194.36,1
490,194.4,1
491,194.395,1
492,194.4048,2
493,194.4,1
494,194.4,1
495,194.41,1
496,194.4,1
497,194.405,1
498,194.405,1
499,194.41,4
500,194.39,1
501,194.42,1
502,194.42,1
503,194.4001,1
504,194.4101,5
505,194.42,1
506,194.42,1
507,194.42,1
508,194.425,1
509,194.42,1
510,194.42,1
511,194.38,6
512,194.39,1
513,194.38,1
514,194.38,2
515,194.38,1
516,194.38,2
517,194.3999,4
518,194.3518,2
519,194.3601,6
520,194.35,1
521,194.345,3
522,194.33,5
523,194.315,15
524,194.315,1
525,194.3199,10
526,194.32,1
527,194.3047,1
528,194.34,1
529,194.335,5
530,194.33,1
531,194.33,1
532,194.33,1
533,194.34,5
534,194.325,2
535,194.315,1
536,194.315,1
537,194.31,1
538,194.3129,1
539,194.3248,2
540,194.305,1
541,194.295,1
542,194.29,2
543,194.315,3
544,194.325,1
545,194.315,4
546,194.305,1
547,194.295,1
548,194.2972,1
549,194.31,1
550,194.3171,5
551,194.31,5
552,194.31,1
553,194.29,1
554,194.29,1
555,194.31,1
556,194.32,1
557,194.329,3
558,194.325,1
559,194.34,1
560,194.34,1
561,194.34,1
562,194.34,1
563,194.34,1
564,194.3513,4
565,194.36,1
566,194.3301,5
567,194.3187,1
568,194.305,1
569,194.3099,2
570,194.31,1
571,194.32,1
572,194.295,1
573,194.29,1
574,194.3073,9
575,194.3073,9
576,194.32,1
577,194.325,5
578,194.3213,2
579,194.31,1
580,194.3199,9
581,194.32,1
582,194.34,1
583,194.31,1
584,194.3,1
585,194.2901,1
586,194.3,1
587,194.31,1
588,194.31,1
589,194.3,3
590,194.31,1
591,194.28,2
592,194.28,1
593,194.27,1
594,194.28,2
595,194.2701,20
596,194.295,1
597,194.311,1
598,194.32,2
599,194.305,1
600,194.31,1
601,194.31,1
602,194.329,15
603,194.34,3
604,194.32,1
605,194.32,1
606,194.33,1
607,194.33,1
608,194.34,1
609,194.34,1
610,194.33,1
611,194.3,2
612,194.2955,1
613,194.275,3
614,194.28,5
615,194.28,3
616,194.2797,1
617,194.28,1
