,Date,Open,High,Low,Close,Adj Close,Volume,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value
0,2021-08-30,149.0,153.490005,148.610001,153.119995,150.976974,90956700,,,,,,,,,,,,
1,2021-08-31,152.660004,152.800003,151.289993,151.830002,149.705032,86453100,,,,,,,,,,,,
2,2021-09-01,152.830002,154.979996,152.339996,152.509995,150.375519,80313700,,,,,,,,,,,,
3,2021-09-02,153.869995,154.720001,152.399994,153.649994,151.499542,71115500,,,,,,,,,,,,
4,2021-09-03,153.759995,154.630005,153.089996,154.300003,152.140457,57808700,,,,,,,,,,,,
5,2021-09-07,154.970001,157.259995,154.389999,156.690002,154.497025,82278300,,,,,,,,,,,,
6,2021-09-08,156.979996,157.039993,153.979996,155.110001,152.939117,74420200,,,,,,,,,,,,
7,2021-09-09,155.490005,156.110001,153.949997,154.070007,151.913696,57305700,,,,,,,,,,,,
8,2021-09-10,155.0,155.479996,148.699997,148.970001,146.885071,140893200,,,,,,,,,,,,
9,2021-09-13,150.630005,151.419998,148.75,149.550003,147.456955,102404300,,,,,,,,,,,,
10,2021-09-14,150.350006,151.070007,146.910004,148.119995,146.046951,109296300,,,,,,,,,,,,
11,2021-09-15,148.559998,149.440002,146.369995,149.029999,146.944214,83281300,,,,,,,,,,,,
12,2021-09-16,148.440002,148.970001,147.220001,148.789993,146.707565,68034100,,,,,,,,,,,,
13,2021-09-17,148.820007,148.820007,145.759995,146.059998,144.015793,129868800,,,,,,,,,,,,
14,2021-09-20,143.800003,144.839996,141.270004,142.940002,140.939468,123478900,,,,,,,,,,,,
15,2021-09-21,143.929993,144.600006,142.779999,143.429993,141.422592,75834000,,,,,,,,,,,,
16,2021-09-22,144.449997,146.429993,143.699997,145.850006,143.808716,76404300,,,,,,,,,,,,
17,2021-09-23,146.649994,147.080002,145.639999,146.830002,144.775009,64838200,,,,,,,,,,,,
18,2021-09-24,145.660004,147.470001,145.559998,146.919998,144.863724,53477900,,,,,,,,,,,,
19,2021-09-27,145.470001,145.960007,143.820007,145.369995,143.335449,74150700,,,,,,,,,,,,
20,2021-09-28,143.25,144.75,141.690002,141.910004,139.923874,108972300,,,,,,,,,,,,
21,2021-09-29,142.470001,144.449997,142.029999,142.830002,140.830978,74602000,,,,,,,,,,,,
22,2021-09-30,143.660004,144.380005,141.279999,141.5,139.519623,89056700,,,,,,,,,,,,
23,2021-10-01,141.899994,142.919998,139.110001,142.649994,140.653488,94639600,,,,,,,,,,,,
24,2021-10-04,141.759995,142.210007,138.270004,139.139999,137.192627,98322000,,,,,,,,,,,,
25,2021-10-05,139.490005,142.240005,139.360001,141.110001,139.13504,80861100,,,,,,,,,,,,
26,2021-10-06,139.470001,142.149994,138.369995,142.0,140.012604,83221100,,,,,,,,,,,,
27,2021-10-07,143.059998,144.220001,142.720001,143.289993,141.284561,61732700,,,,,,,,,,,,
28,2021-10-08,144.029999,144.179993,142.559998,142.899994,140.899979,58773200,,,,,,,,,,,,
29,2021-10-11,142.270004,144.809998,141.809998,142.809998,140.811279,64452200,,,,,,,,,,,,
30,2021-10-12,143.229996,143.25,141.039993,141.509995,139.529465,73035900,,,,,,,,,,,,
31,2021-10-13,141.240005,141.399994,139.199997,140.910004,138.937851,78762700,,,,,,,,,,,,
32,2021-10-14,142.110001,143.880005,141.509995,143.759995,141.747986,69907100,,,,,,,,,,,,
33,2021-10-15,143.770004,144.899994,143.509995,144.839996,142.812851,67940300,,,,,,,,,,,,
34,2021-10-18,143.449997,146.839996,143.160004,146.550003,144.498932,85589200,,,,,,,,,,,,
35,2021-10-19,147.009995,149.169998,146.550003,148.759995,146.678009,76378900,,,,,,,,,,,,
36,2021-10-20,148.699997,149.75,148.119995,149.259995,147.17099,58418800,,,,,,,,,,,,
37,2021-10-21,148.809998,149.639999,147.869995,149.479996,147.387924,61421000,,,,,,,,,,,,
38,2021-10-22,149.690002,150.179993,148.639999,148.690002,146.608963,58883400,,,,,,,,,,,,
39,2021-10-25,148.679993,149.369995,147.619995,148.639999,146.559677,50720600,,,,,,,,,,,,
40,2021-10-26,149.330002,150.839996,149.009995,149.320007,147.230179,60893400,,,,,,,,,,,,
41,2021-10-27,149.360001,149.729996,148.490005,148.850006,146.766739,56094900,,,,,,,,,,,,
42,2021-10-28,149.820007,153.169998,149.720001,152.570007,150.434677,100077900,,,,,,,,,,,,
43,2021-10-29,147.220001,149.940002,146.410004,149.800003,147.703461,124953200,,,,,,,,,,,,
44,2021-11-01,148.990005,149.699997,147.800003,148.960007,146.875198,74588300,,,,,,,,,,,,
45,2021-11-02,148.660004,151.570007,148.649994,150.020004,147.920364,69122000,,,,,,,,,,,,
46,2021-11-03,150.389999,151.970001,149.820007,151.490005,149.369812,54511500,,,,,,,,,,,,
47,2021-11-04,151.580002,152.429993,150.639999,150.960007,148.847229,60394600,,,,,,,,,,,,
48,2021-11-05,151.889999,152.199997,150.059998,151.279999,149.380432,65463900,,,,,,,,,,,,
49,2021-11-08,151.410004,151.570007,150.160004,150.440002,148.550964,55020900,,,,,,,,,,,,
50,2021-11-09,150.199997,151.429993,150.059998,150.809998,148.916321,56787900,,,,,,,,,,,,
51,2021-11-10,150.020004,150.130005,147.850006,147.919998,146.062607,65187100,,,,,,,,,,,,
52,2021-11-11,148.960007,149.429993,147.679993,147.869995,146.013229,41000000,,,,,,,,,,,,
53,2021-11-12,148.429993,150.399994,147.479996,149.990005,148.106628,63804000,,,,,,,,,,,,
54,2021-11-15,150.369995,151.880005,149.429993,150.0,148.116486,59222800,,,,,,,,,,,,
55,2021-11-16,149.940002,151.490005,149.339996,151.0,149.103958,59256200,,,,,,,,,,,,
56,2021-11-17,151.0,155.0,150.990005,153.490005,151.562668,88807000,,,,,,,,,,,,
57,2021-11-18,153.710007,158.669998,153.050003,157.869995,155.88765,137827700,,,,,,,,,,,,
58,2021-11-19,157.649994,161.020004,156.529999,160.550003,158.534042,117305600,,,,,,,,,,,,
59,2021-11-22,161.679993,165.699997,161.0,161.020004,158.998154,117467900,,,,,,,,,,,,
60,2021-11-23,161.119995,161.800003,159.059998,161.410004,159.383224,96041900,,,,,,,,,,,,
61,2021-11-24,160.75,162.139999,159.639999,161.940002,159.906586,69463600,,,,,,,,,,,,
62,2021-11-26,159.570007,160.449997,156.360001,156.809998,154.840988,76959800,,,,,,,,,,,,
63,2021-11-29,159.369995,161.190002,158.789993,160.240005,158.227921,88748200,,,,,,,,,,,,
64,2021-11-30,159.990005,165.520004,159.919998,165.300003,163.22438,174048100,,,,,,,,,,,,
65,2021-12-01,167.479996,170.300003,164.529999,164.770004,162.70105,152052500,,,,,,,,,,,,
