volume,vw,open,close,high,low,t,num_trades,simpletime,date,vwap
864.0,194.9338,194.9,194.92,195.0,194.9,1706086800000,18,1,2024-01-24 03:00:00,194.9338
404.0,194.91,194.91,194.91,194.91,194.91,1706086873000,4,2,2024-01-24 03:01:13,194.9262170347003
325.0,194.9523,194.95,194.96,194.96,194.95,1706086897000,4,3,2024-01-24 03:01:37,194.93153841807907
250.0,194.96,194.96,194.96,194.96,194.96,1706086904000,1,4,2024-01-24 03:01:44,194.93539918610958
465.0,194.9606,194.96,194.96,194.96,194.96,1706086955000,9,5,2024-01-24 03:02:35,194.9404764731369
189.0,195.05,195.05,195.05,195.05,195.05,1706087083000,4,6,2024-01-24 03:04:43,194.9487663996796
285.0,195.051,195.05,195.05,195.05,195.05,1706087090000,3,7,2024-01-24 03:04:50,194.95923964773544
668.0,195.1289,195.14,195.14,195.14,195.14,1706087136000,30,8,2024-01-24 03:05:36,194.99208982608695
351.0,195.1998,195.2,195.2,195.2,195.2,1706087146000,8,9,2024-01-24 03:05:46,195.01127063930545
250.0,195.25,195.25,195.25,195.25,195.25,1706087164000,1,10,2024-01-24 03:06:04,195.02600338188103
247.0,195.3139,195.3,195.3,195.3,195.3,1706087175000,14,11,2024-01-24 03:06:15,195.04254839460214
569.0,195.4226,195.38,195.49,195.49,195.38,1706087176000,8,12,2024-01-24 03:06:16,195.08698015204436
150.0,195.39,195.39,195.39,195.39,195.39,1706087179000,2,13,2024-01-24 03:06:19,195.09603994418976
1793.0,195.2872,195.3,195.28,195.3,195.28,1706087293000,26,14,2024-01-24 03:08:13,195.14637033773863
1965.0,195.1,195.1,195.1,195.1,195.1,1706087427000,11,15,2024-01-24 03:10:27,195.13598655270656
317.0,195.0706,195.07,195.07,195.07,195.07,1706087446000,4,16,2024-01-24 03:10:46,195.13370679718435
163.0,195.1017,195.1,195.1,195.1,195.1,1706087453000,2,17,2024-01-24 03:10:53,195.13314309022152
1226.0,195.0519,195.05,195.05,195.05,195.05,1706087540000,20,18,2024-01-24 03:12:20,195.12363979582102
226.0,195.0022,195.0,195.0,195.0,195.0,1706087546000,9,19,2024-01-24 03:12:26,195.1210764826749
2000.0,195.0,195.0,195.0,195.0,195.0,1706087567000,3,20,2024-01-24 03:12:47,195.10201982371925
527.0,194.9409,194.94,194.94,194.94,194.94,1706087642000,4,21,2024-01-24 03:14:02,195.09560376303463
1001.0,194.902,194.9,194.9,194.9,194.9,1706087648000,5,22,2024-01-24 03:14:08,195.08198961714086
1094.0,194.94,194.94,194.94,194.94,194.94,1706087686000,7,23,2024-01-24 03:14:46,195.07185610281167
103.0,194.9903,194.99,194.99,194.99,194.99,1706087743000,2,24,2024-01-24 03:15:43,195.07131176127527
1061.0,194.9417,194.95,194.91,194.95,194.91,1706087763000,19,25,2024-01-24 03:16:03,195.0629737949433
251.0,194.93,194.93,194.93,194.93,194.93,1706087810000,2,26,2024-01-24 03:16:50,195.06098045867176
230.0,194.95,194.95,194.95,194.95,194.95,1706087830000,2,27,2024-01-24 03:17:10,195.05947665841876
300.0,194.985,194.99,194.99,194.99,194.99,1706087877000,5,28,2024-01-24 03:17:57,195.05818321176335
200.0,194.9526,194.95,194.95,194.95,194.95,1706087987000,5,29,2024-01-24 03:19:47,195.0569747510587
196.0,194.95,194.95,194.95,194.95,194.95,1706088047000,2,30,2024-01-24 03:20:47,195.0557881607244
2001.0,194.99,194.99,194.99,194.99,194.99,1706088091000,18,31,2024-01-24 03:21:31,195.0490959686849
500.0,194.99,194.99,194.99,194.99,194.99,1706088104000,1,32,2024-01-24 03:21:44,195.0476310941451
905.0,194.9955,194.99,195.0,195.0,194.99,1706088143000,14,33,2024-01-24 03:22:23,195.04539259347126
150.0,195.0,195.0,195.0,195.0,195.0,1706088145000,2,34,2024-01-24 03:22:25,195.04507181287104
610.0,194.9967,195.0,195.0,195.0,195.0,1706088248000,11,35,2024-01-24 03:24:08,195.04372052115772
163.0,195.0039,195.0,195.0,195.0,195.0,1706088261000,2,36,2024-01-24 03:24:21,195.0434254738852
168.0,195.0101,195.0,195.0,195.0,195.0,1706088262000,4,37,2024-01-24 03:24:22,195.04317290567062
1015.0,195.05,195.05,195.05,195.05,195.05,1706088285000,7,38,2024-01-24 03:24:45,195.04347182296613
150.0,195.0,195.0,195.0,195.0,195.0,1706088329000,2,39,2024-01-24 03:25:29,195.0431923452769
469.0,195.0056,195.01,195.0,195.01,195.0,1706088492000,10,40,2024-01-24 03:28:12,195.04245158606787
1000.0,195.0487,195.05,195.05,195.05,195.05,1706088508000,4,41,2024-01-24 03:28:28,195.0427035280836
153.0,194.99,194.99,194.99,194.99,194.99,1706088642000,4,42,2024-01-24 03:30:42,195.0423803879138
200.0,194.99,194.99,194.99,194.99,194.99,1706088650000,1,43,2024-01-24 03:30:50,195.04196391031252
1000.0,194.9337,194.93,194.93,194.93,194.93,1706088726000,9,44,2024-01-24 03:32:06,195.03782443220928
100.0,194.96,194.96,194.96,194.96,194.96,1706088859000,1,45,2024-01-24 03:34:19,195.03752800335192
413.0,194.9312,194.93,194.93,194.93,194.93,1706088878000,5,46,2024-01-24 03:34:38,195.03588126898418
417.0,194.93,194.93,194.93,194.93,194.93,1706088917000,5,47,2024-01-24 03:35:17,195.03425106335848
1346.0,194.9,194.9,194.9,194.9,194.9,1706089011000,13,48,2024-01-24 03:36:51,195.02789503341543
1400.0,194.9621,194.95,195.0,195.0,194.95,1706089043000,41,49,2024-01-24 03:37:23,195.0248071002347
989.0,194.8835,194.9,194.87,194.9,194.87,1706089167000,29,50,2024-01-24 03:39:27,195.02027247152733
100.0,194.87,194.87,194.87,194.87,194.87,1706089174000,1,51,2024-01-24 03:39:34,195.0197864516964
100.0,194.87,194.87,194.87,194.87,194.87,1706089183000,1,52,2024-01-24 03:39:43,195.01930356555664
200.0,194.8242,194.82,194.82,194.82,194.82,1706089257000,7,53,2024-01-24 03:40:57,195.01805366283355
123.0,194.86,194.86,194.86,194.86,194.86,1706089294000,1,54,2024-01-24 03:41:34,195.01743338970076
874.0,194.8989,194.9,194.9,194.9,194.9,1706089300000,8,55,2024-01-24 03:41:40,195.0142176527192
1000.0,194.86,194.86,194.86,194.86,194.86,1706089306000,1,56,2024-01-24 03:41:46,195.00957478022644
100.0,194.88,194.88,194.88,194.88,194.88,1706089449000,1,57,2024-01-24 03:44:09,195.00918585364394
100.0,194.87,194.87,194.87,194.87,194.87,1706089493000,1,58,2024-01-24 03:44:53,195.00876932906397
291.0,194.86,194.86,194.86,194.86,194.86,1706089500000,8,59,2024-01-24 03:45:00,195.00748497048093
120.0,194.88,194.88,194.88,194.88,194.88,1706089610000,1,60,2024-01-24 03:46:50,195.00703272238155
456.0,194.86,194.86,194.86,194.86,194.86,1706089766000,1,61,2024-01-24 03:49:26,195.00507703234842
588.0,194.88,194.88,194.88,194.88,194.88,1706089786000,7,62,2024-01-24 03:49:46,195.00296796478452
163.0,194.8225,194.83,194.83,194.83,194.83,1706090134000,5,63,2024-01-24 03:55:34,195.00212831535083
190.0,194.8529,194.85,194.85,194.85,194.85,1706090451000,2,64,2024-01-24 04:00:51,195.00132337042928
808.0,194.8935,194.88,194.9,194.9,194.88,1706090754000,18,65,2024-01-24 04:05:54,194.99890548401424
173.0,194.86,194.86,194.86,194.86,194.86,1706091563000,2,66,2024-01-24 04:19:23,194.99824174561527
182.0,194.85,194.85,194.85,194.85,194.85,1706091576000,6,67,2024-01-24 04:19:36,194.99750027207523
279.0,194.8299,194.83,194.83,194.83,194.83,1706091618000,10,68,2024-01-24 04:20:18,194.9962249631812
248.0,194.8,194.8,194.8,194.8,194.8,1706091643000,20,69,2024-01-24 04:20:43,194.99490666142933
