Date,Time,Close,Volume,Insider_Trades,Negative_Count,Neutral_Count,Positive_Count,Total_Count
2024-03-05,663,167.75,14716900,0.0,-1.0,1.0,1.0,0.0
2024-03-06,664,167.0,12733400,501314.0,-1.0,1.0,1.0,0.0
2024-03-07,665,168.44000244140625,9049600,0.0,0.0,0.0,0.0,0.0
2024-03-08,666,162.39999389648438,9342400,0.0,0.0,0.0,0.0,0.0
2024-03-11,667,162.2899932861328,6026100,-543783.0,0.0,1.0,0.0,0.0
2024-03-12,668,161.9499969482422,7386900,0.0,0.0,0.0,0.0,0.0
2024-03-13,669,162.30999755859375,5866700,0.0,0.0,2.0,0.0,0.0
2024-03-14,670,158.9199981689453,5999100,-242910.0,0.0,0.0,0.0,0.0
2024-03-15,671,156.97000122070312,8265600,0.0,-1.0,0.0,0.0,-1.0
2024-03-18,672,156.30999755859375,7127200,-6650215.0,0.0,0.0,1.0,1.0
2024-03-19,673,157.6999969482422,6644900,-309793.0,0.0,0.0,0.0,0.0
2024-03-20,674,163.0399932861328,7596600,0.0,0.0,0.0,0.0,0.0
2024-03-21,675,158.38999938964844,11393400,0.0,0.0,0.0,1.0,1.0
2024-03-22,676,159.02999877929688,4076000,0.0,0.0,0.0,0.0,0.0
2024-03-25,677,158.13999938964844,3108700,5000038.0,0.0,2.0,0.0,0.0
2024-03-26,678,158.02000427246094,4069100,0.0,-1.0,0.0,0.0,-1.0
2024-03-27,679,160.0399932861328,4698100,0.0,0.0,1.0,1.0,1.0
2024-03-28,680,161.60000610351562,10106900,0.0,-1.0,1.0,1.0,0.0
2024-04-01,681,160.52000427246094,3928800,0.0,-1.0,0.0,0.0,-1.0
2024-04-02,682,156.19000244140625,5615500,0.0,0.0,1.0,0.0,0.0
2024-04-03,683,153.02000427246094,6147000,0.0,0.0,0.0,1.0,1.0
2024-04-04,684,151.33999633789062,6249500,0.0,-1.0,0.0,0.0,-1.0
2024-04-05,685,153.86000061035156,5113600,0.0,0.0,0.0,0.0,0.0
2024-04-08,686,154.86000061035156,2682700,0.0,-2.0,0.0,0.0,-2.0
2024-04-09,687,155.5800018310547,3412200,0.0,0.0,0.0,0.0,0.0
2024-04-10,688,152.97000122070312,3602400,0.0,-1.0,0.0,1.0,0.0
