Date,Close,Volume
2021-06-30,233.82000732421875,7797100
2021-07-01,235.14999389648438,5329600
2021-07-02,238.6300048828125,4383700
2021-07-06,239.60000610351562,8048700
2021-07-07,240,4366100
2021-07-08,236.61000061035156,6388000
2021-07-09,238.47000122070312,5615900
2021-07-12,237.8699951171875,7010700
2021-07-13,242.35000610351562,8079200
2021-07-14,245.99000549316406,8693400
2021-07-15,248.5500030517578,10135100
2021-07-16,248.1199951171875,8674500
2021-07-19,240.41000366210938,11474600
2021-07-20,242.6999969482422,7072300
2021-07-21,243.66000366210938,11241400
2021-07-22,244.13999938964844,10293600
2021-07-23,249.02000427246094,6766000
2021-07-26,250.25,4879000
2021-07-27,250.92999267578125,7038300
2021-07-28,246.94000244140625,9036500
2021-07-29,247.9199981689453,7495300
2021-07-30,246.38999938964844,5804700
2021-08-02,239.77999877929688,9989500
2021-08-03,237.08999633789062,9839000
2021-08-04,236.6699981689453,8171800
2021-08-05,240.2100067138672,5337500
2021-08-06,241.39999389648438,4509700
2021-08-09,240,5226900
2021-08-10,238.07000732421875,7185700
2021-08-11,235.05999755859375,7375700
2021-08-12,231.7899932861328,9867000
2021-08-13,232.64999389648438,5445400
2021-08-16,235.36000061035156,7575900
2021-08-17,234.52999877929688,6850500
2021-08-18,231.6300048828125,4996500
2021-08-19,231.57000732421875,5761300
2021-08-20,231.36000061035156,5522200
2021-08-23,234.13999938964844,6342000
2021-08-24,234.24000549316406,5081800
2021-08-25,232.58999633789062,5277100
2021-08-26,230.52000427246094,5889100
2021-08-27,232.69000244140625,6369000
2021-08-30,231.22999572753906,6448000
2021-08-31,229.10000610351562,9405100
2021-09-01,230.1199951171875,8177600
2021-09-02,224.17999267578125,19708800
2021-09-03,225.11000061035156,11532000
2021-09-07,226.27000427246094,9662600
2021-09-08,229.08999633789062,10652600
2021-09-09,227.49000549316406,5853000
2021-09-10,224.91000366210938,6715400
2021-09-13,224.6300048828125,6808100
2021-09-14,223.02999877929688,6575700
2021-09-15,223.80999755859375,6535800
2021-09-16,224.3300018310547,5928500
2021-09-17,221.75,13787400
2021-09-20,220.0500030517578,8822600
2021-09-21,220.1699981689453,7033600
2021-09-22,222.75,6005900
2021-09-23,228.30999755859375,7952700
2021-09-24,231.58999633789062,6461200
2021-09-27,229.60000610351562,6881100
2021-09-28,225.55999755859375,6951400
2021-09-29,226.67999267578125,6432700
2021-09-30,222.75,7128500
2021-10-01,230.4600067138672,7925400
2021-10-04,224.72999572753906,10283400
2021-10-05,224.27999877929688,5814000
2021-10-06,226.50999450683594,5420900
2021-10-07,230.5500030517578,6561900
2021-10-08,230.27000427246094,3735200
2021-10-11,225.11000061035156,5620200
2021-10-12,224.0500030517578,5448200
2021-10-13,222.4600067138672,9076000
2021-10-14,225.17999267578125,5590500
2021-10-15,230.99000549316406,6355100
2021-10-18,230.64999389648438,5580200
2021-10-19,233.52000427246094,4409700
2021-10-20,231.4199981689453,5401800
2021-10-21,230.24000549316406,5982200
2021-10-22,231.22999572753906,3788000
2021-10-25,233.8800048828125,4938700
2021-10-26,231.82000732421875,7814500
2021-10-27,215.77999877929688,22958100
2021-10-28,209.83999633789062,23199400
2021-10-29,211.77000427246094,14329800
2021-11-01,212.4600067138672,13210300
2021-11-02,209.13999938964844,14688700
2021-11-03,208.10000610351562,11486700
2021-11-04,208.77999877929688,11368200
2021-11-05,216.6699981689453,14273600
2021-11-08,220.49000549316406,13500100
2021-11-09,213.38999938964844,11535000
2021-11-10,215.55999755859375,10063600
2021-11-11,210.4199981689453,13546900
2021-11-12,212.08999633789062,7660500
2021-11-15,212.3000030517578,9596900
2021-11-16,215.17999267578125,8719600
2021-11-17,205.05999755859375,38379600
2021-11-18,203.3300018310547,18292200
2021-11-19,200.86000061035156,18032600
2021-11-22,195.5800018310547,21185800
2021-11-23,198.49000549316406,14742700
2021-11-24,203.25,12026800
2021-11-26,197.64999389648438,10987600
2021-11-29,196.2899932861328,14633500
2021-11-30,193.77000427246094,16023000
2021-12-01,190.16000366210938,13204900
2021-12-02,198.2899932861328,13976300
2021-12-03,196.32000732421875,10660500
2021-12-06,202.67999267578125,10722100
2021-12-07,207.3699951171875,11897200
2021-12-08,208.99000549316406,11749200
2021-12-09,211.38999938964844,10176800
2021-12-10,213.39999389648438,8882700
2021-12-13,211.02000427246094,8844300
2021-12-14,209.97999572753906,9832300
2021-12-15,212.30999755859375,10892500
2021-12-16,214.3699951171875,8548400
2021-12-17,211.8800048828125,11578400
2021-12-20,208.74000549316406,9434400
2021-12-21,215.3800048828125,6993700
2021-12-22,217.9600067138672,6003400
2021-12-23,216.6199951171875,4798200
2021-12-27,217.6300048828125,4818400
2021-12-28,218.0500030517578,4279800
2021-12-29,218.1699981689453,3223100
2021-12-30,217.8699951171875,3812800
2021-12-31,216.7100067138672,4723300
2022-01-03,221.42999267578125,7694500
2022-01-04,222.4600067138672,10629300
2022-01-05,220,9594600
2022-01-06,219.75,7877500
2022-01-07,216.9600067138672,10702100
2022-01-10,211.97000122070312,11978600
2022-01-11,214.3800048828125,8803100
2022-01-12,215.7100067138672,6923300
2022-01-13,215,8867700
2022-01-14,214.6699981689453,8838100
2022-01-18,215.7100067138672,9099300
2022-01-19,214.67999267578125,9399800
2022-01-20,214.35000610351562,8532700
2022-01-21,205.92999267578125,16200200
2022-01-24,201.85000610351562,16054000
2022-01-25,202,12125500
2022-01-26,205.8699951171875,10817600
2022-01-27,206.14999389648438,12009800
2022-01-28,228,26425300
2022-01-31,226.1699981689453,12380600
2022-02-01,232.36000061035156,12247200
2022-02-02,235.4199981689453,10590500
2022-02-03,231.5399932861328,9968000
2022-02-04,228.38999938964844,10848100
2022-02-07,227.16000366210938,5984500
2022-02-08,227.94000244140625,7542000
2022-02-09,230.8699951171875,7772800
2022-02-10,225.58999633789062,6794600
2022-02-11,224.69000244140625,7535200
2022-02-14,225.33999633789062,8280800
2022-02-15,227.82000732421875,9461700
2022-02-16,228.82000732421875,9561300
2022-02-17,224.61000061035156,8131200
2022-02-18,222.69000244140625,8121200
2022-02-22,221.32000732421875,9928800
2022-02-23,215.9499969482422,8669900
2022-02-24,217.3000030517578,13463400
2022-02-25,219.27000427246094,8463600
2022-02-28,216.1199951171875,8409400
2022-03-01,208.97000122070312,9317800
2022-03-02,208.47999572753906,8865700
2022-03-03,207.22999572753906,8610000
2022-03-04,200.2899932861328,10912300
2022-03-07,190.6999969482422,13412400
2022-03-08,191.7100067138672,11070900
2022-03-09,199.75999450683594,8457600
2022-03-10,197.97000122070312,7061600
2022-03-11,196.7100067138672,5432100
2022-03-14,200.3300018310547,7994700
2022-03-15,206.13999938964844,8277700
2022-03-16,211.8699951171875,9232300
2022-03-17,213.4499969482422,6668500
2022-03-18,219.11000061035156,14620800
2022-03-21,217.0399932861328,6101500
2022-03-22,218.47000122070312,6259900
2022-03-23,214.67999267578125,6008000
2022-03-24,217.30999755859375,5487000
2022-03-25,218.42999267578125,5051400
2022-03-28,220.77000427246094,4316800
2022-03-29,228.1199951171875,8032500
2022-03-30,223.9499969482422,7084000
2022-03-31,221.77000427246094,10759500
2022-04-01,226.36000061035156,6559600
2022-04-04,227.74000549316406,8521200
2022-04-05,226.08999633789062,4658000
2022-04-06,219.00999450683594,7430000
2022-04-07,216.14999389648438,6995100
2022-04-08,216.97999572753906,5438600
2022-04-11,214.75,6942700
2022-04-12,211.39999389648438,7446600
2022-04-13,213.27000427246094,8052900
2022-04-14,212.7899932861328,8191600
2022-04-18,213.1699981689453,4744400
2022-04-19,215.6999969482422,5028800
2022-04-20,217.7899932861328,7178300
2022-04-21,216.4499969482422,8850300
2022-04-22,208.1699981689453,6201100
2022-04-25,209.9499969482422,6839400
2022-04-26,201.10000610351562,8155300
2022-04-27,214.11000061035156,15955800
2022-04-28,220.66000366210938,10799100
2022-04-29,213.1300048828125,7965000
2022-05-02,211.52999877929688,8803700
2022-05-03,208.55999755859375,6616900
2022-05-04,214.52000427246094,7191100
2022-05-05,205.24000549316406,7749600
2022-05-06,202.82000732421875,8825300
2022-05-09,193,10314100
2022-05-10,193.5800018310547,11016500
2022-05-11,196.72000122070312,9427300
2022-05-12,193.97000122070312,9308600
2022-05-13,199.22999572753906,6684500
2022-05-16,197.80999755859375,5161300
2022-05-17,204,7265600
2022-05-18,199.99000549316406,8748200
2022-05-19,197.3699951171875,9012400
2022-05-20,199.02999877929688,6966600
2022-05-23,207.55999755859375,12187400
2022-05-24,202.6300048828125,7458500
2022-05-25,203.83999633789062,5457200
2022-05-26,208.5500030517578,9212300
2022-05-27,212.8800048828125,4897200
2022-05-31,212.1699981689453,9586400
2022-06-01,209.92999267578125,5246100
2022-06-02,215.0500030517578,5337200
2022-06-03,212.64999389648438,4352500
2022-06-06,212.94000244140625,3965100
2022-06-07,214.5,4493300
2022-06-08,213.5,3646300
2022-06-09,206.11000061035156,5138600
2022-06-10,199.50999450683594,5162500
2022-06-13,192.25999450683594,7119200
2022-06-14,193.52000427246094,6441200
2022-06-15,196.16000366210938,6490000
2022-06-16,189.0500030517578,9887200
2022-06-17,190.00999450683594,15089300
2022-06-21,194.38999938964844,6241600
2022-06-22,193.82000732421875,5138500
2022-06-23,196.63999938964844,4752800
2022-06-24,205.50999450683594,7754800
2022-06-27,203.55999755859375,6121200
2022-06-28,198.1199951171875,4354200
2022-06-29,199.5,4324600
2022-06-30,196.88999938964844,7045200
2022-07-01,199.17999267578125,4131800
2022-07-05,200.5399932861328,4110200
2022-07-06,201.1199951171875,4111200
2022-07-07,202.8000030517578,4650700
2022-07-08,203.57000732421875,3621800
2022-07-11,205.05999755859375,5353600
2022-07-12,204.82000732421875,6779500
2022-07-13,204.14999389648438,7597300
2022-07-14,205.91000366210938,5605500
2022-07-15,210.0399932861328,7245700
2022-07-18,207.2100067138672,4648900
2022-07-19,213.66000366210938,4927100
2022-07-20,213.3699951171875,4460300
2022-07-21,216.19000244140625,4801300
2022-07-22,213.6999969482422,5071500
2022-07-25,214.27000427246094,4357200
2022-07-26,212.49000549316406,6141000
2022-07-27,210.47000122070312,17432200
2022-07-28,211.35000610351562,7477100
2022-07-29,212.11000061035156,6059700
2022-08-01,211.36000061035156,8028400
2022-08-02,206.25999450683594,9939400
2022-08-03,208.47999572753906,9520100
2022-08-04,213.47000122070312,6789700
2022-08-05,215.8699951171875,5553700
2022-08-08,213.32000732421875,4063400
2022-08-09,210.25999450683594,4596800
2022-08-10,212.10000610351562,5746400
2022-08-11,211.0800018310547,6639600
2022-08-12,211.3300018310547,6443700
2022-08-15,216.4199981689453,5290600
2022-08-16,217.13999938964844,6564400
2022-08-17,214.52000427246094,4902500
2022-08-18,215.25,4516400
2022-08-19,212.82000732421875,4178800
2022-08-22,208.61000061035156,5139500
2022-08-23,206.8000030517578,3525500
2022-08-24,206.6699981689453,4230800
2022-08-25,209.82000732421875,4495000
2022-08-26,202.88999938964844,5060200
2022-08-29,202.3300018310547,4476200
2022-08-30,201.3800048828125,3918200
2022-08-31,198.7100067138672,6559000
2022-09-01,200.1300048828125,5608300
2022-09-02,197.75999450683594,4508100
2022-09-06,198.63999938964844,4547800
2022-09-07,200.4199981689453,4098300
2022-09-08,200.7100067138672,4377600
2022-09-09,205.1999969482422,4885600
2022-09-12,206.6300048828125,3812300
2022-09-13,199.6699981689453,5217900
2022-09-14,199.41000366210938,4632800
2022-09-15,195.3699951171875,6099300
2022-09-16,193.3000030517578,9398200
2022-09-19,193.1300048828125,8133600
2022-09-20,192.07000732421875,5292500
2022-09-21,187.02000427246094,6705900
2022-09-22,185.7899932861328,6604700
2022-09-23,183.9600067138672,10755800
2022-09-26,180.58999633789062,9914600
2022-09-27,177.8699951171875,9799600
2022-09-28,179.17999267578125,9751000
2022-09-29,180.05999755859375,9105200
2022-09-30,177.64999389648438,9472300
2022-10-03,181.64999389648438,8842300
2022-10-04,185.64999389648438,7081400
2022-10-05,187.6699981689453,6119900
2022-10-06,185.58999633789062,5163000
2022-10-07,183.8300018310547,5610300
2022-10-10,182.17999267578125,4743800
2022-10-11,179.13999938964844,6294500
2022-10-12,178.24000549316406,4884300
2022-10-13,184.66000366210938,8426400
2022-10-14,182.6199951171875,6449400
2022-10-17,185.25,13952100
2022-10-18,187.1699981689453,5209200
2022-10-19,186.41000366210938,4927000
2022-10-20,187.22000122070312,5706700
2022-10-21,190.3699951171875,7582500
2022-10-24,190.7100067138672,7299200
2022-10-25,194.3800048828125,11907200
2022-10-26,203.3300018310547,15450000
2022-10-27,204.2899932861328,7946700
2022-10-28,209.33999633789062,8455600
2022-10-31,207.16000366210938,8674100
2022-11-01,206.92999267578125,5919500
2022-11-02,200.9499969482422,6985600
2022-11-03,194.75,8236200
2022-11-04,196.97999572753906,9680100
2022-11-07,200.10000610351562,7821300
2022-11-08,201.77999877929688,6943700
2022-11-09,193.92999267578125,7320200
2022-11-10,205.57000732421875,8048900
2022-11-11,205,9601000
2022-11-14,206.86000061035156,5796100
2022-11-15,209.99000549316406,7316100
2022-11-16,210.13999938964844,6125300
2022-11-17,210.99000549316406,5385600
2022-11-18,210.8000030517578,8028500
2022-11-21,206.32000732421875,10450900
2022-11-22,210.3300018310547,5273100
2022-11-23,211.72999572753906,3807300
2022-11-25,213.7899932861328,1993500
2022-11-28,211.25999450683594,10229400
2022-11-29,209.05999755859375,8986900
2022-11-30,217,13918100
2022-12-01,217,11261500
2022-12-02,217.66000366210938,5132800
2022-12-05,213.67999267578125,9006300
2022-12-06,209.0800018310547,5986000
2022-12-07,207.80999755859375,7923800
2022-12-08,209.10000610351562,4896500
2022-12-09,208.6999969482422,4928400
2022-12-12,214.58999633789062,5941700
2022-12-13,213.0399932861328,14585000
2022-12-14,213.32000732421875,7001700
2022-12-15,207.91000366210938,10831800
2022-12-16,206.88999938964844,12472900
2022-12-19,204.82000732421875,4893600
2022-12-20,205.36000061035156,5024900
2022-12-21,206.80999755859375,4086900
2022-12-22,205.05999755859375,5690300
2022-12-23,205.8300018310547,3246000
2022-12-27,206.2899932861328,2904900
2022-12-28,204.99000549316406,3139200
2022-12-29,208.05999755859375,3675500
2022-12-30,207.75999450683594,4159400
2023-01-03,207.38999938964844,4202800
2023-01-04,212.61000061035156,6606200
2023-01-05,211.11000061035156,5246000
2023-01-06,217.75,6829700
2023-01-09,218.60000610351562,6294500
2023-01-10,221.08999633789062,10857000
2023-01-11,222.10000610351562,5408200
2023-01-12,223.6199951171875,4264400
2023-01-13,223.05999755859375,4283200
2023-01-17,223,6101100
2023-01-18,219.4600067138672,6558000
2023-01-19,220.41000366210938,4853100
