Date,Close,Volume
2023-05-30,112.95999908447266,4087484
2023-05-31,112.19000244140625,16398430
2023-06-01,112.75,4084447
2023-06-02,113.9000015258789,4527026
2023-06-05,112.2300033569336,5873121
2023-06-06,114.2300033569336,31736858
2023-06-07,115.77999877929688,3075854
2023-06-08,115.29000091552734,2963534
2023-06-09,116.81999969482422,2635904
2023-06-12,117.62999725341797,3573019
2023-06-13,118.76000213623047,3709600
2023-06-14,120,4561626
2023-06-15,120.3499984741211,3082944
2023-06-16,119.95999908447266,6420131
2023-06-20,119.56999969482422,2530348
2023-06-21,120.02999877929688,2227042
2023-06-22,120.54000091552734,1666300
2023-06-23,120.48999786376953,4278353
2023-06-26,120.16000366210938,2302114
2023-06-27,122.4000015258789,2593491
2023-06-28,122.94999694824219,2940213
2023-06-29,124.05000305175781,2561626
2023-06-30,126.1500015258789,3083942
2023-07-03,125.94999694824219,1395604
2023-07-05,124.9000015258789,3508961
2023-07-06,125.38999938964844,2260349
2023-07-07,125.19999694824219,2004562
2023-07-10,126.88999938964844,2588908
2023-07-11,126.98999786376953,1903518
2023-07-12,127.56999969482422,2212260
2023-07-13,128.67999267578125,2366089
2023-07-14,128,1829522
2023-07-17,128.50999450683594,1822651
2023-07-18,129.32000732421875,2063011
2023-07-19,127.62999725341797,3417689
2023-07-20,129.3800048828125,2625665
2023-07-21,128.52999877929688,2409008
2023-07-24,129.75,2706807
2023-07-25,130.05999755859375,3114403
2023-07-26,127.30000305175781,4829349
2023-07-27,123.51000213623047,3923897
2023-07-28,124.98999786376953,3294139
2023-07-31,126.20999908447266,2811193
2023-08-01,126.97000122070312,2064410
2023-08-02,124.55999755859375,2205958
2023-08-03,125.18000030517578,1784057
2023-08-04,124.81999969482422,1788810
2023-08-07,125.87999725341797,1493158
2023-08-08,125.19999694824219,1553101
2023-08-09,125.05000305175781,1681358
2023-08-10,126.01000213623047,1880053
2023-08-11,125.58999633789062,1338470
2023-08-14,124.47000122070312,2168838
2023-08-15,123.16999816894531,1950707
2023-08-16,121.77999877929688,1994802
2023-08-17,120.33000183105469,2428210
2023-08-18,120.08000183105469,2223651
2023-08-21,119.08999633789062,1767736
2023-08-22,119.26000213623047,1631834
2023-08-23,120.41000366210938,1673826
2023-08-24,120.66000366210938,2085928
2023-08-25,121.4800033569336,1894510
2023-08-28,122.73999786376953,1354164
2023-08-29,122.7300033569336,1457764
2023-08-30,122.58999633789062,1765652
2023-08-31,121.38999938964844,2869748
2023-09-01,122.80999755859375,1777223
2023-09-05,121.80999755859375,2119529
2023-09-06,122.5,1892621
2023-09-07,123.0999984741211,2346152
2023-09-08,121.5999984741211,2263789
2023-09-11,121.68000030517578,2075907
2023-09-12,121.6500015258789,2290655
2023-09-13,121.30000305175781,2596242
2023-09-14,122.19999694824219,1930850
2023-09-15,121.05000305175781,5501836
2023-09-18,121.19999694824219,2077138
2023-09-19,120.69000244140625,1702837
2023-09-20,119.69000244140625,1444442
2023-09-21,116.72000122070312,3260464
2023-09-22,116.08000183105469,2238646
2023-09-25,116.08999633789062,1513187
2023-09-26,114.55999755859375,2147850
2023-09-27,113.19000244140625,3084264
2023-09-28,113.55000305175781,2599729
2023-09-29,112.95999908447266,2376600
2023-10-02,112.8499984741211,2289754
2023-10-03,111.05000305175781,2696886
2023-10-04,112.97000122070312,3170607
2023-10-05,113.1500015258789,2613326
2023-10-06,114.05999755859375,2044546
2023-10-09,114.36000061035156,2041070
2023-10-10,114.6500015258789,1673693
2023-10-11,113.55000305175781,2313948
2023-10-12,112.68000030517578,1740482
2023-10-13,112.4800033569336,2067872
2023-10-16,113.58000183105469,2247695
2023-10-17,114.98999786376953,3163992
2023-10-18,113.08000183105469,1990187
2023-10-19,111.97000122070312,2760859
2023-10-20,110.5,3295083
2023-10-23,109.61000061035156,4488292
2023-10-24,115.44999694824219,6064130
2023-10-25,114.12000274658203,5210790
2023-10-26,114.26000213623047,4179866
2023-10-27,112.45999908447266,2953092
2023-10-30,112.94000244140625,2655664
2023-10-31,113.75,2978876
2023-11-01,114.93000030517578,2387273
2023-11-02,117.80999755859375,2807481
2023-11-03,119.54000091552734,2724830
2023-11-06,119.63999938964844,1947439
2023-11-07,119.20999908447266,2340303
2023-11-08,120.12999725341797,2737203
2023-11-09,119.37999725341797,2697592
