,Date,Close,Volume,Insider_Trades,Negative_Count,Neutral_Count,Positive_Count,Total_Count
0,2021-06-30,63.08000183105469,17875500,0.0,0.0,0.0,0.0,0.0
1,2021-07-01,63.2599983215332,22530300,0.0,0.0,0.0,0.0,0.0
2,2021-07-02,63.16999816894531,14555300,0.0,0.0,0.0,0.0,0.0
3,2021-07-06,61.369998931884766,22110800,0.0,0.0,0.0,0.0,0.0
4,2021-07-07,60.40999984741211,21671400,0.0,0.0,0.0,0.0,0.0
5,2021-07-08,60.13999938964844,18935900,0.0,0.0,0.0,0.0,0.0
6,2021-07-09,61.22999954223633,20086000,0.0,0.0,0.0,0.0,0.0
7,2021-07-12,61.16999816894531,21809400,0.0,0.0,0.0,0.0,0.0
8,2021-07-13,60.880001068115234,17147300,0.0,0.0,0.0,0.0,0.0
9,2021-07-14,59.52999877929688,21573600,0.0,0.0,0.0,0.0,0.0
10,2021-07-15,58.95000076293945,15851100,0.0,0.0,0.0,0.0,0.0
11,2021-07-16,57.31999969482422,27049500,0.0,0.0,0.0,0.0,0.0
12,2021-07-19,55.34999847412109,37969100,0.0,0.0,0.0,0.0,0.0
13,2021-07-20,55.959999084472656,26756100,0.0,0.0,0.0,0.0,0.0
14,2021-07-21,57.7599983215332,20908700,0.0,0.0,0.0,0.0,0.0
15,2021-07-22,57.11000061035156,13493800,0.0,0.0,0.0,0.0,0.0
16,2021-07-23,57.040000915527344,14088200,0.0,0.0,0.0,0.0,0.0
17,2021-07-26,58.47999954223633,18387600,0.0,0.0,0.0,0.0,0.0
18,2021-07-27,57.83000183105469,16861400,0.0,0.0,0.0,0.0,0.0
19,2021-07-28,58.220001220703125,16855300,0.0,0.0,0.0,0.0,0.0
20,2021-07-29,58.93000030517578,18607800,0.0,0.0,0.0,0.0,0.0
21,2021-07-30,57.56999969482422,28652800,0.0,0.0,0.0,0.0,0.0
22,2021-08-02,57.58000183105469,20873800,0.0,0.0,0.0,0.0,0.0
23,2021-08-03,58.20000076293945,18208200,0.0,0.0,0.0,0.0,0.0
24,2021-08-04,56.84000015258789,20868300,0.0,0.0,0.0,0.0,0.0
25,2021-08-05,57.20000076293945,15180200,0.0,0.0,0.0,0.0,0.0
26,2021-08-06,57.86000061035156,14888500,0.0,0.0,0.0,0.0,0.0
27,2021-08-09,57.20000076293945,17828200,0.0,0.0,0.0,0.0,0.0
28,2021-08-10,58.18000030517578,16340200,0.0,0.0,0.0,0.0,0.0
29,2021-08-11,58.34999847412109,18278600,0.0,0.0,0.0,0.0,0.0
30,2021-08-12,57.34999847412109,19225500,0.0,0.0,0.0,0.0,0.0
31,2021-08-13,56.77000045776367,20063000,0.0,0.0,0.0,0.0,0.0
32,2021-08-16,55.93999862670898,16959500,0.0,0.0,0.0,0.0,0.0
33,2021-08-17,55.560001373291016,16243700,0.0,0.0,0.0,0.0,0.0
34,2021-08-18,54.38999938964844,21890500,0.0,0.0,0.0,0.0,0.0
35,2021-08-19,52.72999954223633,30923500,0.0,0.0,0.0,0.0,0.0
36,2021-08-20,52.7400016784668,16918300,0.0,0.0,0.0,0.0,0.0
37,2021-08-23,54.90999984741211,21632600,0.0,0.0,0.0,0.0,0.0
38,2021-08-24,55.36000061035156,17915600,0.0,0.0,0.0,0.0,0.0
39,2021-08-25,55.459999084472656,13270300,0.0,0.0,0.0,0.0,0.0
40,2021-08-26,54.709999084472656,11842600,0.0,0.0,0.0,0.0,0.0
41,2021-08-27,55.77000045776367,15822500,0.0,0.0,0.0,0.0,0.0
42,2021-08-30,55.15999984741211,14086100,0.0,0.0,0.0,0.0,0.0
43,2021-08-31,54.52000045776367,27104100,0.0,0.0,0.0,0.0,0.0
44,2021-09-01,53.77000045776367,21644100,0.0,0.0,0.0,0.0,0.0
45,2021-09-02,55.08000183105469,23293300,0.0,0.0,0.0,0.0,0.0
46,2021-09-03,54.869998931884766,13840000,0.0,0.0,0.0,0.0,0.0
47,2021-09-07,54.54999923706055,14354400,0.0,0.0,0.0,0.0,0.0
48,2021-09-08,54.04999923706055,18756700,0.0,0.0,0.0,0.0,0.0
49,2021-09-09,54.09000015258789,19110800,0.0,0.0,0.0,0.0,0.0
