volume,vw,open,close,high,low,t,num_trades,simpletime,date,vwap
1316,186.9797,187.0,187.0,187.0,187.0,1704963600000,42,1,2024-01-11 03:00:00,186.9797
130,187.15,187.15,187.15,187.15,187.15,1704963647000,2,2,2024-01-11 03:00:47,186.9950105117566
173,187.1493,187.16,187.16,187.16,187.16,1704963654000,5,3,2024-01-11 03:00:54,187.01149728227304
450,187.1,187.1,187.1,187.1,187.1,1704963764000,8,4,2024-01-11 03:02:44,187.03074630256165
888,187.13,187.13,187.13,187.13,187.13,1704963777000,5,5,2024-01-11 03:02:57,187.06055262089959
112,187.13,187.13,187.13,187.13,187.13,1704963778000,2,6,2024-01-11 03:02:58,187.06308703160641
2923,187.0532,187.1,187.0,187.1,187.0,1704963820000,27,7,2024-01-11 03:03:40,187.05826396862489
107,186.9803,186.98,186.98,186.98,186.98,1704963914000,3,8,2024-01-11 03:05:14,187.05689617970165
200,186.99,186.99,186.99,186.99,186.99,1704963920000,3,9,2024-01-11 03:05:20,187.05477215431026
501,186.96,186.96,186.96,186.96,186.96,1704963935000,2,10,2024-01-11 03:05:35,187.04778967647064
100,186.99,186.99,186.99,186.99,186.99,1704963942000,1,11,2024-01-11 03:05:42,187.0469521449276
8215,186.9985,186.98,187.0,187.0,186.98,1704963955000,21,12,2024-01-11 03:05:55,187.02061841217335
525,186.8167,186.82,186.82,186.82,186.82,1704964211000,15,13,2024-01-11 03:10:11,187.0137733248082
500,186.8127,186.81,186.81,186.81,186.81,1704964231000,10,14,2024-01-11 03:10:31,187.00754428748454
316,186.84,186.84,186.84,186.84,186.84,1704964258000,2,15,2024-01-11 03:10:58,187.00432698104038
100,186.84,186.84,186.84,186.84,186.84,1704964268000,1,16,2024-01-11 03:11:08,187.00333442860597
196,186.88,186.88,186.88,186.88,186.88,1704964368000,1,17,2024-01-11 03:12:48,187.00189140401147
145,186.8814,186.88,186.88,186.88,186.88,1704964411000,5,18,2024-01-11 03:13:31,187.00085741847667
395,186.89,186.89,186.89,186.89,186.89,1704964475000,4,19,2024-01-11 03:14:35,186.9983251098774
550,186.89,186.89,186.89,186.89,186.89,1704964484000,3,20,2024-01-11 03:14:44,186.99498586481337
476,186.88,186.88,186.88,186.88,186.88,1704964500000,8,21,2024-01-11 03:15:00,186.9919979146195
451,186.8811,186.88,186.88,186.88,186.88,1704964503000,8,22,2024-01-11 03:15:03,186.9893331504076
956,186.9169,186.94,186.9,186.94,186.9,1704964805000,17,23,2024-01-11 03:20:05,186.98582257541193
401,186.9103,186.91,186.91,186.91,186.91,1704964950000,4,24,2024-01-11 03:22:30,186.9843178276856
794,186.9532,186.95,186.95,186.95,186.95,1704964973000,18,25,2024-01-11 03:22:53,186.9831367782027
200,187.0,187.0,187.0,187.0,187.0,1704965036000,5,26,2024-01-11 03:23:56,186.98329646780303
100,186.97,186.97,186.97,186.97,186.97,1704965059000,1,27,2024-01-11 03:24:19,186.98323380772857
100,186.97,186.97,186.97,186.97,186.97,1704965071000,1,28,2024-01-11 03:24:31,186.98317173545968
2788,186.9064,186.92,186.9,186.92,186.9,1704965147000,27,29,2024-01-11 03:25:47,186.97429337149495
100,186.93,186.93,186.93,186.93,186.93,1704965368000,1,30,2024-01-11 03:29:28,186.97411040152016
236,186.8672,186.86,186.86,186.86,186.86,1704965433000,10,31,2024-01-11 03:30:33,186.97307821142203
739,186.86,186.86,186.86,186.86,186.86,1704965454000,7,32,2024-01-11 03:30:54,186.96975990946274
