volume,vw,open,close,high,low,t,num_trades,simpletime,date,vwap
802,191.9661,192.18,191.56,192.18,191.56,1705914000000,42,1,2024-01-22 03:00:00,191.9661
505,191.8585,191.93,191.83,191.93,191.83,1705914034000,7,2,2024-01-22 03:00:34,191.92452540168327
749,191.9327,191.93,191.93,191.93,191.93,1705914047000,10,3,2024-01-22 03:00:47,191.9275034046693
581,192.0009,191.99,191.99,191.99,191.99,1705914062000,36,4,2024-01-22 03:01:02,191.9436745923398
121,191.899,191.9,191.9,191.9,191.9,1705914142000,5,5,2024-01-22 03:02:22,191.9417146120377
1100,191.8064,191.81,191.8,191.81,191.8,1705914167000,12,6,2024-01-22 03:02:47,191.90313346293416
530,191.7538,191.75,191.75,191.75,191.75,1705914200000,10,7,2024-01-22 03:03:20,191.88509637648133
100,191.86,191.86,191.86,191.86,191.86,1705914222000,1,8,2024-01-22 03:03:42,191.88453718805704
931,191.8448,191.85,191.85,191.85,191.83,1705914310000,13,9,2024-01-22 03:05:10,191.87771022328843
311,191.8401,191.84,191.84,191.84,191.84,1705914342000,4,10,2024-01-22 03:05:42,191.87566890052355
500,191.732,191.73,191.73,191.73,191.73,1705914367000,4,11,2024-01-22 03:06:07,191.86413849117176
224,191.79,191.79,191.79,191.79,191.79,1705914413000,2,12,2024-01-22 03:06:53,191.8615653548187
452,191.7534,191.75,191.75,191.75,191.75,1705914414000,8,13,2024-01-22 03:06:54,191.85448589632202
251,191.8042,191.81,191.8,191.81,191.8,1705914538000,4,14,2024-01-22 03:08:58,191.85272234176327
631,191.8666,191.87,191.86,191.87,191.86,1705914618000,8,15,2024-01-22 03:10:18,191.85384673857212
163,191.8,191.8,191.8,191.8,191.8,1705914689000,1,16,2024-01-22 03:11:29,191.85274284995594
157,191.8,191.8,191.8,191.8,191.8,1705914724000,2,17,2024-01-22 03:12:04,191.85172155895407
208,191.8,191.8,191.8,191.8,191.8,1705914725000,1,18,2024-01-22 03:12:05,191.85042789802785
347,191.8014,191.8,191.8,191.8,191.8,1705914757000,14,19,2024-01-22 03:12:37,191.84846406556616
150,191.79,191.79,191.79,191.79,191.79,1705914901000,2,20,2024-01-22 03:15:01,191.84746898899348
200,191.8,191.8,191.8,191.8,191.8,1705914998000,2,21,2024-01-22 03:16:38,191.84641564406962
446,191.8488,191.85,191.85,191.85,191.85,1705915120000,4,22,2024-01-22 03:18:40,191.84652806850616
173,191.84,191.84,191.84,191.84,191.84,1705915123000,1,23,2024-01-22 03:18:43,191.84641081810628
186,191.8003,191.8,191.8,191.8,191.8,1705915132000,10,24,2024-01-22 03:18:52,191.84553725809735
100,191.85,191.85,191.85,191.85,191.85,1705915191000,1,25,2024-01-22 03:19:51,191.84558225448677
800,191.85,191.85,191.85,191.85,191.85,1705915192000,6,26,2024-01-22 03:19:52,191.84591199850715
100,191.89,191.89,191.89,191.89,191.89,1705915358000,1,27,2024-01-22 03:22:38,191.84631954150487
