v,vw,o,c,h,l,t,n,consistency,date
100,184.99,184.99,184.99,184.99,184.99,1704795219000,1,6000.0,2024-01-09 04:13:39
325,184.9836,184.98,184.98,184.98,184.98,1704795261000,8,42000.0,2024-01-09 04:14:21
272,185.0125,185.01,185.01,185.01,185.01,1704795315000,5,54000.0,2024-01-09 04:15:15
150,185.0207,185.02,185.02,185.02,185.02,1704795535000,2,220000.0,2024-01-09 04:18:55
102,185.1,185.1,185.1,185.1,185.1,1704796025000,3,490000.0,2024-01-09 04:27:05
596,185.037,185.05,185.05,185.05,185.05,1704796205000,23,180000.0,2024-01-09 04:30:05
109,185.0214,185.02,185.02,185.02,185.02,1704796224000,2,19000.0,2024-01-09 04:30:24
225,185.0978,185.1,185.1,185.1,185.1,1704796654000,2,430000.0,2024-01-09 04:37:34
200,185.0992,185.1,185.1,185.1,185.1,1704796656000,4,2000.0,2024-01-09 04:37:36
170,185.0195,185.02,185.02,185.02,185.02,1704797164000,3,508000.0,2024-01-09 04:46:04
181,185.02,185.02,185.02,185.02,185.02,1704797194000,1,30000.0,2024-01-09 04:46:34
251,185.014,185.01,185.01,185.01,185.01,1704797329000,5,135000.0,2024-01-09 04:48:49
378,185.0122,185.02,185.02,185.02,185.02,1704797962000,15,633000.0,2024-01-09 04:59:22
345,185.0097,185.01,185.01,185.01,185.01,1704797963000,7,1000.0,2024-01-09 04:59:23
238,185.0,185.0,185.0,185.0,185.0,1704798006000,3,43000.0,2024-01-09 05:00:06
101,184.95,184.95,184.95,184.95,184.95,1704798357000,2,351000.0,2024-01-09 05:05:57
103,184.95,184.95,184.95,184.95,184.95,1704798372000,1,15000.0,2024-01-09 05:06:12
100,184.9,184.9,184.9,184.9,184.9,1704798606000,1,234000.0,2024-01-09 05:10:06
575,184.9,184.9,184.9,184.9,184.9,1704798607000,8,1000.0,2024-01-09 05:10:07
228,184.9357,184.94,184.94,184.94,184.94,1704798831000,3,224000.0,2024-01-09 05:13:51
776,184.8591,184.86,184.86,184.86,184.86,1704799712000,44,881000.0,2024-01-09 05:28:32
1081,184.809,184.81,184.8,184.81,184.8,1704799729000,22,17000.0,2024-01-09 05:28:49
100,184.81,184.81,184.81,184.81,184.81,1704799754000,1,25000.0,2024-01-09 05:29:14
100,184.81,184.81,184.81,184.81,184.81,1704799866000,1,112000.0,2024-01-09 05:31:06
297,184.81,184.81,184.81,184.81,184.81,1704799876000,3,10000.0,2024-01-09 05:31:16
300,184.8533,184.86,184.86,184.86,184.86,1704800061000,5,185000.0,2024-01-09 05:34:21
265,184.86,184.86,184.86,184.86,184.86,1704800084000,5,23000.0,2024-01-09 05:34:44
200,184.82,184.82,184.82,184.82,184.82,1704800357000,2,273000.0,2024-01-09 05:39:17
328,184.8117,184.81,184.81,184.81,184.81,1704800469000,14,112000.0,2024-01-09 05:41:09
500,184.8086,184.81,184.81,184.81,184.81,1704800594000,8,125000.0,2024-01-09 05:43:14
212,184.8115,184.81,184.81,184.81,184.81,1704800709000,7,115000.0,2024-01-09 05:45:09
1947,184.7993,184.81,184.8,184.81,184.79,1704800850000,48,141000.0,2024-01-09 05:47:30
500,184.84,184.84,184.84,184.84,184.84,1704800859000,10,9000.0,2024-01-09 05:47:39
100,184.71,184.71,184.71,184.71,184.71,1704801470000,1,611000.0,2024-01-09 05:57:50
300,184.715,184.71,184.72,184.72,184.71,1704801588000,3,118000.0,2024-01-09 05:59:48
2760,184.7776,184.76,184.8,184.8,184.76,1704801600000,87,12000.0,2024-01-09 06:00:00
299,184.77,184.77,184.77,184.77,184.77,1704801613000,3,13000.0,2024-01-09 06:00:13
389,184.71,184.71,184.71,184.71,184.71,1704801661000,5,48000.0,2024-01-09 06:01:01
363,184.7063,184.71,184.7,184.71,184.7,1704801662000,5,1000.0,2024-01-09 06:01:02
526,184.6667,184.66,184.66,184.66,184.66,1704801690000,23,28000.0,2024-01-09 06:01:30
364,184.6602,184.66,184.66,184.66,184.66,1704801691000,7,1000.0,2024-01-09 06:01:31
200,184.6665,184.66,184.66,184.66,184.66,1704801710000,4,19000.0,2024-01-09 06:01:50
2500,184.5352,184.6,184.5,184.6,184.5,1704801718000,57,8000.0,2024-01-09 06:01:58
200,184.5,184.5,184.5,184.5,184.5,1704801751000,12,33000.0,2024-01-09 06:02:31
2158,184.5,184.5,184.5,184.5,184.5,1704801772000,7,21000.0,2024-01-09 06:02:52
200,184.5,184.5,184.5,184.5,184.5,1704801773000,3,1000.0,2024-01-09 06:02:53
980,184.4544,184.44,184.43,184.44,184.43,1704801774000,33,1000.0,2024-01-09 06:02:54
326,184.4,184.4,184.4,184.4,184.4,1704801783000,1,9000.0,2024-01-09 06:03:03
1430,184.4021,184.42,184.4,184.42,184.4,1704801827000,4,44000.0,2024-01-09 06:03:47
252,184.4,184.4,184.4,184.4,184.4,1704801849000,4,22000.0,2024-01-09 06:04:09
974,184.4139,184.39,184.39,184.39,184.39,1704801881000,19,32000.0,2024-01-09 06:04:41
550,184.4862,184.49,184.49,184.49,184.49,1704801945000,14,64000.0,2024-01-09 06:05:45
326,184.4322,184.44,184.44,184.44,184.44,1704801980000,7,35000.0,2024-01-09 06:06:20
359,184.4161,184.42,184.41,184.42,184.41,1704801998000,18,18000.0,2024-01-09 06:06:38
500,184.4504,184.46,184.46,184.46,184.46,1704802008000,9,10000.0,2024-01-09 06:06:48
456,184.3985,184.4,184.4,184.4,184.4,1704802040000,10,32000.0,2024-01-09 06:07:20
1000,184.45,184.45,184.45,184.45,184.45,1704802081000,1,41000.0,2024-01-09 06:08:01
500,184.45,184.45,184.45,184.45,184.45,1704802087000,4,6000.0,2024-01-09 06:08:07
2665,184.45,184.45,184.45,184.45,184.45,1704802092000,10,5000.0,2024-01-09 06:08:12
747,184.45,184.45,184.45,184.45,184.45,1704802099000,3,7000.0,2024-01-09 06:08:19
422,184.5,184.5,184.5,184.5,184.5,1704802211000,1,112000.0,2024-01-09 06:10:11
227,184.4907,184.49,184.49,184.49,184.49,1704802263000,6,52000.0,2024-01-09 06:11:03
980,184.474,184.47,184.46,184.47,184.46,1704802330000,24,67000.0,2024-01-09 06:12:10
2050,184.5497,184.55,184.55,184.55,184.55,1704802435000,5,105000.0,2024-01-09 06:13:55
608,184.4835,184.48,184.48,184.48,184.48,1704802492000,21,57000.0,2024-01-09 06:14:52
2505,184.5416,184.54,184.55,184.55,184.54,1704802710000,6,218000.0,2024-01-09 06:18:30
1000,184.5474,184.55,184.55,184.55,184.55,1704802715000,7,5000.0,2024-01-09 06:18:35
1197,184.5503,184.55,184.55,184.55,184.55,1704802722000,10,7000.0,2024-01-09 06:18:42
1101,184.5595,184.55,184.55,184.55,184.55,1704802761000,13,39000.0,2024-01-09 06:19:21
100,184.49,184.49,184.49,184.49,184.49,1704802906000,1,145000.0,2024-01-09 06:21:46
322,184.49,184.49,184.49,184.49,184.49,1704802907000,1,1000.0,2024-01-09 06:21:47
392,184.4758,184.48,184.47,184.48,184.47,1704802910000,13,3000.0,2024-01-09 06:21:50
389,184.4584,184.46,184.46,184.46,184.46,1704802930000,8,20000.0,2024-01-09 06:22:10
401,184.5,184.5,184.5,184.5,184.5,1704803017000,5,87000.0,2024-01-09 06:23:37
807,184.4347,184.43,184.43,184.43,184.43,1704803036000,25,19000.0,2024-01-09 06:23:56
200,184.42,184.42,184.42,184.42,184.42,1704803039000,3,3000.0,2024-01-09 06:23:59
326,184.4139,184.41,184.41,184.41,184.41,1704803064000,13,25000.0,2024-01-09 06:24:24
108,184.4415,184.44,184.44,184.44,184.44,1704803162000,6,98000.0,2024-01-09 06:26:02
416,184.4321,184.44,184.44,184.44,184.44,1704803293000,17,131000.0,2024-01-09 06:28:13
843,184.4004,184.39,184.39,184.39,184.39,1704803358000,38,65000.0,2024-01-09 06:29:18
200,184.39,184.39,184.39,184.39,184.39,1704803362000,2,4000.0,2024-01-09 06:29:22
100,184.39,184.39,184.39,184.39,184.39,1704803366000,1,4000.0,2024-01-09 06:29:26
322,184.39,184.39,184.39,184.39,184.39,1704803368000,3,2000.0,2024-01-09 06:29:28
173,184.39,184.39,184.39,184.39,184.39,1704803375000,2,7000.0,2024-01-09 06:29:35
423,184.3835,184.39,184.38,184.39,184.38,1704803377000,11,2000.0,2024-01-09 06:29:37
1507,184.3502,184.35,184.35,184.35,184.35,1704803379000,7,2000.0,2024-01-09 06:29:39
1980,184.35,184.35,184.35,184.35,184.35,1704803383000,18,4000.0,2024-01-09 06:29:43
349,184.3332,184.33,184.33,184.33,184.33,1704803396000,24,13000.0,2024-01-09 06:29:56
326,184.3058,184.3,184.31,184.31,184.3,1704803398000,7,2000.0,2024-01-09 06:29:58
326,184.31,184.31,184.31,184.31,184.31,1704803400000,2,2000.0,2024-01-09 06:30:00
1413,184.3002,184.3,184.3,184.3,184.3,1704803403000,14,3000.0,2024-01-09 06:30:03
402,184.3301,184.33,184.33,184.33,184.33,1704803412000,4,9000.0,2024-01-09 06:30:12
318,184.3001,184.3,184.3,184.3,184.3,1704803417000,4,5000.0,2024-01-09 06:30:17
1498,184.3,184.3,184.3,184.3,184.3,1704803442000,2,25000.0,2024-01-09 06:30:42
1257,184.2907,184.3,184.24,184.3,184.24,1704803444000,22,2000.0,2024-01-09 06:30:44
567,184.1804,184.16,184.16,184.16,184.16,1704803461000,27,17000.0,2024-01-09 06:31:01
246,184.3389,184.34,184.34,184.34,184.34,1704803527000,4,66000.0,2024-01-09 06:32:07
516,184.3379,184.34,184.34,184.34,184.34,1704803560000,12,33000.0,2024-01-09 06:32:40
520,184.3161,184.31,184.31,184.31,184.31,1704803566000,10,6000.0,2024-01-09 06:32:46
500,184.3104,184.31,184.31,184.31,184.31,1704803576000,5,10000.0,2024-01-09 06:32:56
153,184.3105,184.31,184.31,184.31,184.31,1704803577000,4,1000.0,2024-01-09 06:32:57
438,184.3851,184.39,184.39,184.39,184.39,1704803606000,13,29000.0,2024-01-09 06:33:26
1667,184.4404,184.43,184.46,184.46,184.43,1704803694000,13,88000.0,2024-01-09 06:34:54
513,184.4925,184.48,184.5,184.5,184.48,1704803700000,8,6000.0,2024-01-09 06:35:00
343,184.5,184.5,184.5,184.5,184.5,1704803706000,3,6000.0,2024-01-09 06:35:06
432,184.5,184.5,184.5,184.5,184.5,1704803714000,1,8000.0,2024-01-09 06:35:14
682,184.5293,184.53,184.53,184.53,184.53,1704803723000,3,9000.0,2024-01-09 06:35:23
202,184.48,184.48,184.48,184.48,184.48,1704803951000,4,228000.0,2024-01-09 06:39:11
405,184.4702,184.46,184.46,184.46,184.46,1704803959000,9,8000.0,2024-01-09 06:39:19
501,184.4893,184.49,184.49,184.49,184.49,1704803974000,14,15000.0,2024-01-09 06:39:34
162,184.5188,184.52,184.52,184.52,184.52,1704804041000,4,67000.0,2024-01-09 06:40:41
120,184.52,184.52,184.52,184.52,184.52,1704804061000,1,20000.0,2024-01-09 06:41:01
153,184.4798,184.47,184.47,184.47,184.47,1704804110000,4,49000.0,2024-01-09 06:41:50
200,184.4975,184.5,184.5,184.5,184.5,1704804217000,2,107000.0,2024-01-09 06:43:37
380,184.5,184.5,184.5,184.5,184.5,1704804252000,4,35000.0,2024-01-09 06:44:12
220,184.4955,184.5,184.49,184.5,184.49,1704804264000,4,12000.0,2024-01-09 06:44:24
200,184.52,184.52,184.52,184.52,184.52,1704804276000,2,12000.0,2024-01-09 06:44:36
359,184.4939,184.5,184.49,184.5,184.49,1704804318000,8,42000.0,2024-01-09 06:45:18
341,184.5042,184.51,184.51,184.51,184.51,1704804377000,5,59000.0,2024-01-09 06:46:17
500,184.529,184.53,184.53,184.53,184.53,1704804476000,9,99000.0,2024-01-09 06:47:56
250,184.56,184.56,184.56,184.56,184.56,1704804490000,2,14000.0,2024-01-09 06:48:10
138,184.5785,184.58,184.58,184.58,184.58,1704804519000,4,29000.0,2024-01-09 06:48:39
105,184.61,184.61,184.61,184.61,184.61,1704804548000,3,29000.0,2024-01-09 06:49:08
364,184.5868,184.59,184.59,184.59,184.59,1704804565000,9,17000.0,2024-01-09 06:49:25
1001,184.5212,184.52,184.52,184.53,184.52,1704804607000,14,42000.0,2024-01-09 06:50:07
479,184.5053,184.5,184.5,184.5,184.5,1704804613000,7,6000.0,2024-01-09 06:50:13
507,184.498,184.5,184.49,184.5,184.49,1704804623000,10,10000.0,2024-01-09 06:50:23
460,184.4811,184.48,184.48,184.48,184.48,1704804723000,2,100000.0,2024-01-09 06:52:03
198,184.57,184.57,184.57,184.57,184.57,1704804810000,1,87000.0,2024-01-09 06:53:30
2629,184.6435,184.66,184.6,184.66,184.6,1704804815000,45,5000.0,2024-01-09 06:53:35
709,184.6078,184.6,184.6,184.6,184.6,1704804880000,23,65000.0,2024-01-09 06:54:40
372,184.6,184.6,184.6,184.6,184.6,1704804884000,3,4000.0,2024-01-09 06:54:44
1794,184.7179,184.76,184.68,184.76,184.68,1704804954000,50,70000.0,2024-01-09 06:55:54
565,184.6654,184.67,184.67,184.67,184.66,1704804980000,5,26000.0,2024-01-09 06:56:20
1183,184.6173,184.66,184.6,184.66,184.6,1704804992000,40,12000.0,2024-01-09 06:56:32
172,184.5721,184.57,184.57,184.57,184.57,1704804993000,2,1000.0,2024-01-09 06:56:33
222,184.5708,184.57,184.57,184.57,184.57,1704804997000,3,4000.0,2024-01-09 06:56:37
304,184.61,184.61,184.61,184.61,184.61,1704805013000,1,16000.0,2024-01-09 06:56:53
663,184.5621,184.57,184.57,184.57,184.57,1704805066000,12,53000.0,2024-01-09 06:57:46
658,184.5495,184.55,184.55,184.55,184.55,1704805071000,5,5000.0,2024-01-09 06:57:51
727,184.5493,184.55,184.55,184.55,184.55,1704805079000,13,8000.0,2024-01-09 06:57:59
