Date,News_Sentiment
2024-05-03,0
2024-05-04,1
2024-05-05,-1
2024-05-06,-1
2024-05-08,0
2024-05-09,0
2024-05-10,0
2024-05-12,1
2024-05-13,-1
2024-05-15,-1
2024-05-17,-1
2024-05-18,0
2024-05-19,-1
2024-05-20,1
2024-05-21,0
2024-05-23,0
