,Date,Close,Volume,Insider_Trades,News_Sentiment
0,2021-06-30,200.0249938964844,32656800,0.0,
1,2021-07-01,202.1199951171875,48013600,0.0,
2,2021-07-02,204.8699951171875,34276400,0.0,
3,2021-07-06,206.9850006103516,44670800,0.0,
4,2021-07-07,203.71749877929688,41842800,0.0,
5,2021-07-08,199.02749633789065,50330000,0.0,
6,2021-07-09,200.50250244140625,29662400,0.0,
7,2021-07-12,205.125,32198400,0.0,
8,2021-07-13,202.5,29070800,0.0,
9,2021-07-14,198.4149932861328,38010000,0.0,
10,2021-07-15,189.6625061035156,55056400,0.0,
11,2021-07-16,181.6100006103516,68822400,0.0,
12,2021-07-19,187.7975006103516,74906000,0.0,
13,2021-07-20,186.1199951171875,43468700,0.0,
14,2021-07-21,194.1000061035156,37101700,0.0,
15,2021-07-22,195.94000244140625,32382600,0.0,
16,2021-07-23,195.5800018310547,19567200,0.0,
17,2021-07-26,192.94000244140625,20394300,0.0,
18,2021-07-27,192.0800018310547,24886300,0.0,
19,2021-07-28,195.02999877929688,20219100,0.0,
20,2021-07-29,196.6199951171875,19078100,0.0,
21,2021-07-30,194.9900054931641,18349700,0.0,
22,2021-08-02,197.5,21744400,0.0,
23,2021-08-03,198.1499938964844,30181100,0.0,
24,2021-08-04,202.7400054931641,23130900,0.0,
25,2021-08-05,206.3699951171875,21143500,0.0,
26,2021-08-06,203.66000366210935,17849700,0.0,
27,2021-08-09,202.9499969482422,14644300,0.0,
28,2021-08-10,199.3600006103516,17923800,0.0,
29,2021-08-11,196.9900054931641,18592500,0.0,
30,2021-08-12,199.0500030517578,15165200,0.0,
31,2021-08-13,201.8800048828125,18306300,0.0,
32,2021-08-16,199.5,21087600,0.0,
33,2021-08-17,194.5800018310547,20458500,0.0,
34,2021-08-18,190.3999938964844,28591300,0.0,
35,2021-08-19,197.97999572753903,76655500,0.0,
36,2021-08-20,208.16000366210935,67574100,0.0,
37,2021-08-23,219.5800018310547,57580700,0.0,
38,2021-08-24,217.92999267578125,29729900,0.0,
39,2021-08-25,222.1300048828125,34770100,0.0,
40,2021-08-26,220.67999267578125,23794000,0.0,
41,2021-08-27,226.3600006103516,30472200,0.0,
42,2021-08-30,226.8800048828125,26258000,0.0,
