volume,vw,open,close,high,low,t,num_trades,simpletime,date,vwap
304.0,182.574,182.55,182.55,182.55,182.55,1705568400000,33,1,2024-01-18 03:00:00,182.574
840.0,182.8,182.83,182.83,182.83,182.83,1705568403000,18,2,2024-01-18 03:00:03,182.73994405594408
350.0,182.77,182.77,182.77,182.77,182.77,1705568523000,1,3,2024-01-18 03:02:03,182.7469852744311
1150.0,182.7608,182.76,182.76,182.76,182.76,1705568691000,7,4,2024-01-18 03:04:51,182.7529939485628
1153.0,182.7081,182.71,182.71,182.71,182.71,1705568739000,30,5,2024-01-18 03:05:39,182.7393614169081
2857.0,182.5485,182.54,182.6,182.6,182.54,1705568743000,22,6,2024-01-18 03:05:43,182.65741205290053
163.0,182.5913,182.6,182.6,182.6,182.6,1705568782000,3,7,2024-01-18 03:06:22,182.65583126008508
417.0,182.6021,182.6,182.6,182.6,182.6,1705568876000,16,8,2024-01-18 03:07:56,182.65273395078793
1398.0,182.6,182.6,182.6,182.6,182.6,1705568882000,7,9,2024-01-18 03:08:02,182.64419339666358
183.0,182.5996,182.6,182.6,182.6,182.6,1705569038000,9,10,2024-01-18 03:10:38,182.64326763471357
163.0,182.6377,182.63,182.63,182.63,182.63,1705569048000,2,11,2024-01-18 03:10:48,182.6431665515705
120.0,182.712,182.71,182.71,182.71,182.71,1705569167000,3,12,2024-01-18 03:12:47,182.64407444493293
500.0,182.6,182.6,182.6,182.6,182.6,1705569201000,3,13,2024-01-18 03:13:21,182.64177842258803
326.0,182.5878,182.58,182.58,182.58,182.58,1705569236000,6,14,2024-01-18 03:13:56,182.64000524989922
163.0,182.551,182.55,182.55,182.55,182.55,1705569248000,7,15,2024-01-18 03:14:08,182.6385669772975
500.0,182.649,182.65,182.65,182.65,182.65,1705569287000,4,16,2024-01-18 03:14:47,182.63905970529893
330.0,182.505,182.5,182.5,182.5,182.5,1705569390000,7,17,2024-01-18 03:16:30,182.63500733718053
172.0,182.5924,182.59,182.59,182.59,182.59,1705569793000,2,18,2024-01-18 03:23:13,182.6343464604563
163.0,182.5,182.5,182.5,182.5,182.5,1705569866000,2,19,2024-01-18 03:24:26,182.63240027550657
163.0,182.5,182.5,182.5,182.5,182.5,1705569867000,2,20,2024-01-18 03:24:27,182.63050967148487
163.0,182.4934,182.5,182.5,182.5,182.5,1705569868000,9,21,2024-01-18 03:24:28,182.62857938331314
234.0,182.5,182.5,182.5,182.5,182.5,1705569899000,6,22,2024-01-18 03:24:59,182.62603217913983
100.0,182.5,182.5,182.5,182.5,182.5,1705569913000,1,23,2024-01-18 03:25:13,182.62497415211547
100.0,182.5,182.5,182.5,182.5,182.5,1705569925000,1,24,2024-01-18 03:25:25,182.62393374125872
601.0,182.5854,182.6,182.6,182.6,182.6,1705569952000,15,25,2024-01-18 03:25:52,182.62209763735825
163.0,182.5031,182.5,182.5,182.5,182.5,1705569985000,3,26,2024-01-18 03:26:25,182.62057943018155
150.0,182.54,182.54,182.54,182.54,182.54,1705570033000,2,27,2024-01-18 03:27:13,182.6196443447315
235.0,182.5,182.5,182.5,182.5,182.5,1705570059000,7,28,2024-01-18 03:27:39,182.61750800091176
215.0,182.4947,182.5,182.49,182.5,182.49,1705570066000,7,29,2024-01-18 03:27:46,182.6155340385765
170.0,182.3736,182.37,182.37,182.37,182.37,1705570357000,4,30,2024-01-18 03:32:37,182.61249780747082
100.0,182.41,182.41,182.41,182.41,182.41,1705570448000,1,31,2024-01-18 03:34:08,182.61101387219693
100.0,182.45,182.45,182.45,182.45,182.45,1705570453000,1,32,2024-01-18 03:34:13,182.60984252146076
600.0,182.4448,182.45,182.45,182.45,182.45,1705570563000,6,33,2024-01-18 03:36:03,182.60293986477063
341.0,182.421,182.41,182.41,182.41,182.41,1705570719000,14,34,2024-01-18 03:38:39,182.5987156192551
100.0,182.44,182.44,182.44,182.44,182.44,1705570812000,1,35,2024-01-18 03:40:12,182.5976422736187
1124.0,182.4496,182.45,182.45,182.45,182.45,1705570859000,13,36,2024-01-18 03:40:59,182.58718413047575
596.0,182.4509,182.45,182.45,182.45,182.45,1705570865000,14,37,2024-01-18 03:41:05,182.58226347004296
273.0,182.5601,182.56,182.56,182.56,182.56,1705570870000,3,38,2024-01-18 03:41:10,182.58190288438612
164.0,182.53,182.53,182.53,182.53,182.53,1705570906000,2,39,2024-01-18 03:41:46,182.58140051935786
200.0,182.4396,182.45,182.45,182.45,182.45,1705570964000,4,40,2024-01-18 03:42:44,182.57974629024727
150.0,182.45,182.45,182.45,182.45,182.45,1705570971000,3,41,2024-01-18 03:42:51,182.57862093211514
1035.0,182.4065,182.4,182.4,182.4,182.4,1705570997000,30,42,2024-01-18 03:43:17,182.5689016258388
153.0,182.37,182.37,182.37,182.37,182.37,1705571000000,1,43,2024-01-18 03:43:20,182.5672550535656
201.0,182.4634,182.46,182.46,182.46,182.46,1705571205000,4,44,2024-01-18 03:46:45,182.56613773483912
503.0,182.52,182.49,182.49,182.49,182.49,1705571218000,15,45,2024-01-18 03:46:58,182.5649281403106
100.0,182.46,182.46,182.46,182.46,182.46,1705571374000,1,46,2024-01-18 03:49:34,182.56438407653215
145.0,182.42,182.42,182.42,182.42,182.42,1705571505000,1,47,2024-01-18 03:51:45,182.56330663887599
333.0,182.4205,182.42,182.42,182.42,182.42,1705571507000,4,48,2024-01-18 03:51:47,182.56090051608982
145.0,182.42,182.42,182.42,182.42,182.42,1705571508000,1,49,2024-01-18 03:51:48,182.55987431814754
145.0,182.42,182.42,182.42,182.42,182.42,1705571510000,1,50,2024-01-18 03:51:50,182.55886296000793
